file,pageTitle,section,tableIndex,headers,rowCount
html/subject/生理学/07_内分泌_ストレス反応.html,ストレス反応,IV. ストレス反応の結果,4,変化 | 機序 | 意義,6
html/subject/生理学/07_内分泌_ストレス反応.html,ストレス反応,V. 汎適応症候群（セリエのストレス学説）,5,段階 | 特徴 | 持続時間,3
html/subject/生理学/07_内分泌_ホルモンと産生器官.html,ホルモンと産生器官,I. 視床下部ホルモン（放出ホルモン・抑制ホルモン）,0,ホルモン | 標的器官 | 主な作用,7
html/subject/生理学/07_内分泌_ホルモンと産生器官.html,ホルモンと産生器官,II. 下垂体前葉ホルモン,1,ホルモン | 標的器官 | 主な作用,6
html/subject/生理学/07_内分泌_ホルモンと産生器官.html,ホルモンと産生器官,IV. その他の主要なホルモンと産生器官,3,ホルモン | 主な作用,1
html/subject/生理学/07_内分泌_ホルモンと産生器官.html,ホルモンと産生器官,IV. その他の主要なホルモンと産生器官,6,部位 | ホルモン | 主な作用,5
html/subject/生理学/07_内分泌_ホルモンと産生器官.html,ホルモンと産生器官,IV. その他の主要なホルモンと産生器官,8,ホルモン | 主な作用,3
html/subject/生理学/07_内分泌_ホルモンの機能.html,ホルモンの機能,VII. ストレス反応に関わるホルモン,6,ホルモン | 分泌部位 | ストレス反応での役割,2
html/subject/生理学/08_成長と加齢_加齢変化.html,加齢変化,IX. 口腔の加齢変化,6,組織・機能 | 変化,7
html/subject/生理学/08_成長と加齢_新生児の生理.html,新生児の生理,II. 出生時の生理的変化,1,構造 | 胎児期 | 出生後,3
html/subject/生理学/08_成長と加齢_新生児の生理.html,新生児の生理,III. 生理的体重減少,2,原因 | 機序,3
html/subject/生理学/08_成長と加齢_新生児の生理.html,新生児の生理,V. 新生児に特徴的な反射（原始反射）,3,反射 | 刺激 | 反応 | 消失時期,5
html/subject/生理学/09_顎口腔の感覚機能_味覚.html,味覚,II. 味覚受容器,1,舌乳頭 | 分布 | 味蕾,4
html/subject/生理学/09_顎口腔の感覚機能_味覚.html,味覚,III. 味覚受容機構,2,味質 | 受容体,3
html/subject/生理学/09_顎口腔の感覚機能_味覚.html,味覚,V. 味覚障害,4,症状 | 内容,5
html/subject/生理学/09_顎口腔の感覚機能_歯根膜の感覚.html,歯根膜の感覚,I. 歯根膜の機能,0,機能 | 内容,6
html/subject/生理学/09_顎口腔の感覚機能_歯根膜の感覚.html,歯根膜の感覚,II. 歯根膜の感覚の種類,1,感覚の種類 | 内容 | 機能,3
html/subject/生理学/09_顎口腔の感覚機能_歯髄の感覚.html,歯髄の感覚,I. 歯の感覚受容部位,0,部位 | 感覚の種類 | 備考,4
html/subject/生理学/09_顎口腔の感覚機能_歯髄の感覚.html,歯髄の感覚,II. 歯髄神経の種類,1,神経線維 | 分布 | 伝える感覚 | 痛みの特徴,2
html/subject/生理学/09_顎口腔の感覚機能_歯髄の感覚.html,歯髄の感覚,V. 歯髄炎と軸索反射,3,細胞 | 放出物質,4
html/subject/生理学/10_顎反射_顎反射.html,顎反射,II. 下顎反射の種類と役割,1,反射 | 役割 | 現れる運動,4
html/subject/生理学/10_顎反射_顎反射.html,顎反射,IV. 反射の比較まとめ,6,反射 | 受容器 | 中枢 | シナプス,5
html/subject/生理学/11_嚥下_嚥下.html,嚥下,II. 摂食嚥下の5期,0,期 | 別名 | 内容 | 随意性,5
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,I. 唾液腺と唾液,0,種類 | 別名 | 特徴,2
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,I. 唾液腺と唾液,1,要因 | 影響,6
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,II. 唾液の作用,2,作用 | 内容,9
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,III. 唾液腺の構造と唾液分泌機構,3,細胞 | 形態 | 分泌物,2
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,III. 唾液腺の構造と唾液分泌機構,4,イオン | 分泌速度上昇時 | 理由,2
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,IV. 唾液分泌の制御機構,5,神経 | 神経核 | 節前神経 | 自律神経節 | 支配唾液腺,3
html/subject/生理学/12_唾液_唾液分泌.html,唾液分泌,IV. 唾液分泌の制御機構,7,神経 | 分泌量 | 唾液の性状,2
html/subject/生理学/13_発声と構音_発声・構音.html,発声・構音,II. 喉頭・声帯の構造と喉頭筋・神経支配,1,喉頭筋 | 支配神経 | 機能 | 障害,6
html/subject/生理学/13_発声と構音_発声・構音.html,発声・構音,IV. 母音の構音,3,母音 | 口唇の形 | 舌挙上の高さ | 舌の前後位置,5
html/subject/生理学/13_発声と構音_発声・構音.html,発声・構音,V. 子音の構音,4,構音様式 | 特徴 | 日本語の例,5
html/subject/生理学/13_発声と構音_発声・構音.html,発声・構音,V. 子音の構音,5,構音部位 | 特徴 | 日本語の例,4
